curso_codigo,curso_nome,masc_branca,masc_preta,masc_parda,fem_branca,fem_preta,fem_parda
5000715,ABI - ANTROPOLOGIA,0,1,2,0,1,2
2915,ABI - ARTES CÊNICAS,9,3,1,14,0,2
5000645,ABI - ARTES CÊNICAS,29,6,26,41,3,29
5000918,ABI - ARTES CÊNICAS,14,1,6,20,4,16
5001035,ABI - ARTES CÊNICAS,22,10,10,26,4,19
5001112,ABI - ARTES CÊNICAS,19,3,2,41,2,5
5001034,ABI - ARTES PLÁSTICAS,12,2,8,14,1,3
2922,ABI - ARTES VISUAIS,2,0,0,0,0,0
5000699,ABI - ARTES VISUAIS,28,9,21,52,4,28
5000748,ABI - ARTES VISUAIS,17,2,1,33,1,2
5000971,ABI - ARTES VISUAIS,31,0,2,57,2,3
5001026,ABI - ARTES VISUAIS,35,1,12,63,1,9
5001169,ABI - ARTES VISUAIS,24,5,19,36,3,22
5001184,ABI - CIÊNCIA DA COMPUTAÇÃO,38,15,43,7,4,18
5000598,ABI - CIÊNCIAS BIOLÓGICAS,6,1,11,11,1,22
5000608,ABI - CIÊNCIAS BIOLÓGICAS,75,6,25,97,15,37
5000620,ABI - CIÊNCIAS BIOLÓGICAS,116,7,10,189,9,22
5000632,ABI - CIÊNCIAS BIOLÓGICAS,60,9,45,89,12,62
5000646,ABI - CIÊNCIAS BIOLÓGICAS,19,1,15,54,1,33
5000658,ABI - CIÊNCIAS BIOLÓGICAS,65,14,51,74,12,49
5000669,ABI - CIÊNCIAS BIOLÓGICAS,70,4,34,85,14,59
5000745,ABI - CIÊNCIAS BIOLÓGICAS,32,1,5,70,0,5
5000755,ABI - CIÊNCIAS BIOLÓGICAS,50,1,6,64,0,6
5000756,ABI - CIÊNCIAS BIOLÓGICAS,15,2,1,27,0,2
5000765,ABI - CIÊNCIAS BIOLÓGICAS,28,1,4,57,0,8
5000768,ABI - CIÊNCIAS BIOLÓGICAS,25,1,2,41,2,4
5000824,ABI - CIÊNCIAS BIOLÓGICAS,23,0,1,36,2,2
5000847,ABI - CIÊNCIAS BIOLÓGICAS,66,0,4,57,1,8
5000848,ABI - CIÊNCIAS BIOLÓGICAS,55,0,3,52,0,2
5000854,ABI - CIÊNCIAS BIOLÓGICAS,0,0,1,0,0,0
5001027,ABI - CIÊNCIAS BIOLÓGICAS,39,2,6,65,1,7
5001036,ABI - CIÊNCIAS BIOLÓGICAS,28,5,20,42,6,28
5001111,ABI - CIÊNCIAS BIOLÓGICAS,29,1,5,60,5,6
5001117,ABI - CIÊNCIAS BIOLÓGICAS,5,2,25,4,3,48
5001124,ABI - CIÊNCIAS BIOLÓGICAS,14,2,9,17,1,8
5001175,ABI - CIÊNCIAS BIOLÓGICAS,4,0,0,6,1,4
5001259,ABI - CIÊNCIAS BIOLÓGICAS,16,0,4,24,1,8
5001263,ABI - CIÊNCIAS BIOLÓGICAS,15,1,6,25,1,4
5001275,ABI - CIÊNCIAS BIOLÓGICAS,14,0,2,21,1,1
5001313,ABI - CIÊNCIAS BIOLÓGICAS,13,3,5,24,1,6
5001278,ABI - CIÊNCIAS BIOMÉDICAS,14,0,1,29,1,0
44249,ABI - CIÊNCIAS DA NATUREZA,31,10,22,98,24,49
1106847,ABI - CIÊNCIAS DA NATUREZA,37,10,7,43,7,16
2928,ABI - CIÊNCIAS EXATAS,34,1,1,15,2,4
5000602,ABI - CIÊNCIAS SOCIAIS,11,3,12,13,2,12
5000609,ABI - CIÊNCIAS SOCIAIS,10,3,7,7,5,1
5000622,ABI - CIÊNCIAS SOCIAIS,177,8,20,164,9,18
5000635,ABI - CIÊNCIAS SOCIAIS,39,12,33,33,18,39
5000659,ABI - CIÊNCIAS SOCIAIS,31,3,15,24,5,21
5000738,ABI - CIÊNCIAS SOCIAIS,109,5,17,90,7,12
5000746,ABI - CIÊNCIAS SOCIAIS,99,17,17,116,12,27
5000890,ABI - CIÊNCIAS SOCIAIS,38,7,12,30,7,17
5000903,ABI - CIÊNCIAS SOCIAIS,11,5,9,14,2,12
5000922,ABI - CIÊNCIAS SOCIAIS,23,10,15,20,9,22
5001037,ABI - CIÊNCIAS SOCIAIS,50,15,52,69,21,71
5001113,ABI - CIÊNCIAS SOCIAIS,11,4,9,28,5,13
5001116,ABI - CIÊNCIAS SOCIAIS,14,8,33,9,8,35
5001118,ABI - CIÊNCIAS SOCIAIS,6,5,33,8,10,37
5001125,ABI - CIÊNCIAS SOCIAIS,30,0,9,32,5,4
5001312,ABI - CIÊNCIAS SOCIAIS,31,2,11,30,7,10
5001119,ABI - COMPOSIÇÃO E REGÊNCIA,1,1,3,0,0,1
5000682,ABI - COMUNICAÇÃO SOCIAL,94,15,80,170,22,88
5001038,ABI - COMUNICAÇÃO SOCIAL,35,6,41,74,13,36
5000603,ABI - DANÇA,0,0,2,6,0,12
5001266,ABI - DANÇA,0,2,7,5,8,10
5000741,ABI - DESIGN,89,3,7,67,1,5
5001039,ABI - DESIGN,20,5,5,21,1,7
91601,ABI - ECONOMIA EMPRESARIAL E CONTROLADORIA,103,3,4,64,1,1
5000599,ABI - EDUCAÇÃO FÍSICA,11,2,32,10,2,14
5000610,ABI - EDUCAÇÃO FÍSICA,216,31,67,128,20,40
5000751,ABI - EDUCAÇÃO FÍSICA,99,7,4,66,6,5
5000949,ABI - EDUCAÇÃO FÍSICA,7,0,8,8,0,2
5000950,ABI - EDUCAÇÃO FÍSICA,45,3,8,32,1,11
5001028,ABI - EDUCAÇÃO FÍSICA,171,9,18,70,2,13
5001276,ABI - EDUCAÇÃO FÍSICA,108,12,22,69,4,19
5000825,ABI - EDUCAÇÃO FÍSICA E ESPORTE,110,6,6,47,1,3
5000837,ABI - EDUCAÇÃO FÍSICA E ESPORTE,75,3,6,35,4,5
5000612,ABI - ENFERMAGEM,22,8,17,217,46,107
5001126,ABI - ENFERMAGEM,4,0,2,12,4,6
